restaurant_id,review_1,review_2,review_3
casablanca-ypsilanti,"Very tasty and authentic, this place is a required dining experience for any foodie.

Moroccan offerings are unique versus in all the standard Middle...","The food is consistently good and the staff is very pleasant. 

That location has had a high restaurant turnover rate, but I really hope this restaurant is...","The people here are awesome (owner is very nice) and the prices are excellent. One of my favorite places.

Updated review:
Their veggie sandwich and their..."
monahans-seafood-market-ann-arbor,Cute little joint in a dining hall/market.  As you walk up to the counter a menu with standard seafood meals hangs from the ceiling.  What makes this place...,"Caveat: I've never bought raw seafood here.

The dine-in part of Monahan's is excellent. Last time I was here, we got fish chowder, fish and chips, and...","This review pertains to eating their food (not purchasing take home fish). 

There are signs directing you to various parts of the counter depending on..."
the-lunch-room-ann-arbor-4,"My recent Ann Arbor favorite! I've been making a conscious effort to decrease my consumption of meat, and The Lunch Room makes it pretty easy.

I've really...","This place was recommended to us and our family finally got a chance to try it out. We ordered the Tempeh Reuben, the Powerup Bowl and the Mac and Cheese...","This is one of the best places I've been in my life. From the scenic courtyard seating to the bathroom monsters, this cafeteria style ordering restaurant is..."
biercamp-ann-arbor,The best artisan smoked meat place for miles around! They have everything from great brisket and pulled pork to chili and smoked jerky!,"What can i say, homemade sausage. It's just simply delicious. 

Their microbrews aren't bad either","I go here for the raw sausage. They have all sorts of delicious and decadent combinations. I love their spicy ones with cheese, oozing with flavorful..."
pilars-tamales-ann-arbor,"Excellent food and staff. No refills on tea though

Highly recommend and will return!","Of course, it isn't until I'm about to move away from this area that my friend shows me Pilar's. I wish I had known about them earlier!!!

I ordered a...",Got the pair special and loved it! Loroco pupusa was perfectly cheesy. The chicken tamale was bigger than I thought and also very good. I also got the...
juicy-kitchen-ann-arbor-3,"What a beauty is Juicy Kitchen, a heaven to vegan, gluten free guys. They have tons of things on the menu and its crazy to pick what you really like....","I came here today for a Sunday brunch with a wholesome group of friends, and this quaint, charming restaurant was lively and poppin'. Luckily, we were able...",Just this past summer a friend took me here to this hidden gem (towards the back of a nondiscript strip mall).  I've enjoyed eating each item I've chosen....
frita-batidos-ann-arbor,"When I first moved to Ann Arbor, this was a place that consistently came up as a suggestion for one of my first foodie encounters. So off I went - the place...","We love Frita's!

The best thing to order is the chorizo frita with as many toppings as possible and a side of garlic-cilantro fries. You'll need a fork for...","Just around the corner from my office is Frita Batidos.  Of course, when I finally made my first visit it was on a weekend when I didn't have to be in Ann..."
neopapalis-ann-arbor,Wow! Just wow! You know that feeling when you try something for the first time and then realize or get an epiphany of what something is actually suppose to...,This is my second favorite pizza spot in Ann Arbor (first being Mani). I love the fresh and authentic ingredients. I'm a huge fan of San marzano tomatoes....,This is a pretty neat spot. You have the option for take out or dine in on one side and then they have a bar set up on the other side with TVs and beers....
the-songbird-cafe-ann-arbor,"This is definitely one of my favorite breakfast spots now, and worth the 30 minute drive from the suburbs. My husband and I went for breakfast to try their...","I've been here a few times for lunch and love it! They have great sandwiches. The bread is lovely and nicely toasted, as well. I particularly like the...","I had been waiting to try this place forever, but every time I came by it was packed so I ended up leaving. On the Friday that I came in, it was still..."
mezes-greek-grill-ann-arbor,"I've only been to this place twice, but now I'm going to add it to my rotation of quick spots to eat at in Ann Arbor. It really has everything you need for...","Falafel pita, 
lamb if you're into meat lunch.
Best owner ever.

We were incredibly hungry when we made it to Ann Arbor. This Greek grill is very quaint and...","The gyro, salad, and lamb burgers are all really tasty! You can also taste the freshness in all their ingredients. I always come to eat lunch here when I..."
